fiscal_year	Query_Run_Date	Customer	SubCustomer	ProductOrServiceArea	CompetitionClassification	ClassifyNumberOfOffers	VehicleClassification	VendorSize	SizeOfSumOfObligatedAmount	UnmodifiedUltimateDuration	Label	IDVlabel	ContractLabel	TransactionLabel	IsPerformanceBasedLogistics	SumOfobligatedAmount	SumOfnumberOfActions
2000	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$5 - <$25 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	5750000.0000	1
2000	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	Limited Competition with multiple offers	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Large	$1 - <$5 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	2599400.0000	1
2000	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$5 - <$25 million	>4 years	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	11263089.0000	1
2001	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$5 - <$25 million	>1-2 Years	PBL-Announcement	PBL-Announcement	NULL	NULL	1	6025000.0000	2
2001	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	Deobligation	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	-1432869.0000	2
2001	2017-09-13 12:23:09.423	Defense	Air Force	ERS	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	30206946.0000	3
2001	2017-09-13 12:23:09.423	Defense	Navy	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$25 - <$100 million	>2-7 Months	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	77051120.0000	1
2001	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	Limited Competition with multiple offers	Two Offers	SINGLE AWARD Indefinite Delivery Contract	Large	$250 thousand - <$1 million	NULL	PBL-Announcement	PBL-Announcement	NULL	NULL	1	690475.0000	2
2001	2017-09-13 12:23:09.423	Defense	Navy	Engines & Power Plants	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large	$5 - <$25 million	NULL	PBL-GoviniSolicitation	PBL-GoviniSolicitation	NULL	NULL	1	5080370.0000	1
2002	2017-09-13 12:23:09.423	Defense	Air Force	Aircraft	No Competition (Only One Source Exception)	No competition	SINGLE AWARD Indefinite Delivery Contract	Large: Big 6	$5 - <$25 million	>7-12 Months	PBL-Announcement	PBL-Announcement	NULL	NULL	1	17750000.0000	2
