fiscal_year,Query_Run_Date,Customer,SubCustomer,ServicesCategory,CompetitionClassification,ClassifyNumberOfOffers,VehicleClassification,VendorSize,SizeOfSumOfObligatedAmount,UnmodifiedUltimateDuration,Label,IDVlabel,ContractLabel,TransactionLabel,IsOfficialPBL,PSCscore,MaxOfIsOnlyOneSource,MaxOfIsSingleAward,LengthScore,PricingScore,SumOfobligatedAmount,SumOfnumberOfActions
2000,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>4 years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,2,2,316725,1
2001,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,30242976,3
2001,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,11615465,8
2001,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,8468381,1
2001,44:53.8,Defense,Navy,Products,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,$250 thousand - <$1 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,690475,2
2002,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,123338,1
2002,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,406285,3
2002,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,125352,1
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$5 - <$25 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,1,1,0,0,2,17046064,2
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,NULL,1,0,0,2,103352,2
2003,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>2-4 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,1,2,2800000,1
2003,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,61230417,26
2003,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,108782,3
2003,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Deobligation,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,-987925,4
2003,44:53.8,Defense,Air Force,R&D,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,<=2 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,1,1,0,0,0,290000,1
2003,44:53.8,Defense,Navy,Products,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,$5 - <$25 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,2,1,0,0,0,2,14530900,1
2003,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,Modified Definitive Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-Announcement,NULL,PBL-Announcement,NULL,0,1,1,0,0,2,2352000,3
2000,44:53.8,Defense,Navy,Products,No Competition (Unlabeled Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,1,0,0,0,2,10900000,1
2001,44:53.8,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,3041000,1
2001,44:53.8,Defense,Navy,PAMS,No Competition (Only One Source Exception),No competition,Modified Definitive Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-GoviniSolicitation,NULL,PBL-GoviniSolicitation,NULL,0,4,1,0,0,0,6607165,1
2001,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,0,77100000,1
2001,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Zero value,NULL,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,NULL,2,1,1,0,0,2,0,NULL
2002,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>2-4 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,1,2,1163000,3
2002,44:53.8,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,14629549,7
2002,44:53.8,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>4 years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,2,0,1669200,1
2002,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,32770115,3
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$250 thousand - <$1 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,1,1,0,0,2,710854,1
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$100 - <$500 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,0,118177881,6
2002,44:53.8,Defense,Navy,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,2,6082752,1
2003,44:53.8,Defense,Air Force,Products,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,90419751,39
2003,44:53.8,Defense,Air Force,R&D,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,1,1,0,0,2,667125,1
2003,44:53.8,Defense,Navy,PAMS,No Competition (Only One Source Exception),No competition,Definitive Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-Announcement,NULL,PBL-Announcement,NULL,0,4,1,0,0,2,12418575,1
