fiscal_year,Query_Run_Date,Customer,SubCustomer,ProductOrServiceArea,CompetitionClassification,ClassifyNumberOfOffers,VehicleClassification,VendorSize,SizeOfSumOfObligatedAmount,UnmodifiedUltimateDuration,Label,IDVlabel,ContractLabel,TransactionLabel,IsOfficialPBL,PSCscore,MaxOfIsOnlyOneSource,MaxOfIsSingleAward,LengthScore,PricingScore,SumOfobligatedAmount,SumOfnumberOfActions
1999,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,Definitive Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-Announcement,NULL,PBL-Announcement,NULL,0,4,1,0,0,2,1127793.0000,1
2000,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,0.0000,1
2000,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>1-2 Years,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,2,1,0,0,2,1144906.0000,1
2001,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,24523559.0000,3
2001,2017-09-13 14:58:58.833,Defense,Navy,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Zero value,NULL,PBL-GoviniSolicitation,NULL,PBL-GoviniSolicitation,NULL,0,4,1,0,0,2,0.0000,0
2001,2017-09-13 14:58:58.833,Defense,Navy,Ground Vehicles,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,$5 - <$25 million,>2-7 Months,PBL-DoD-ZBLs,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,1,2,0,0,0,2,8064767.0000,1
2001,2017-09-13 14:58:58.833,Defense,Navy,Ground Vehicles,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,Zero value,NULL,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,NULL,1,2,0,0,0,2,0.0000,0
2002,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,32650215.0000,2
2002,2017-09-13 14:58:58.833,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,1452071.0000,1
2002,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,1,4,1,0,0,2,7180.0000,2
2002,2017-09-13 14:58:58.833,Defense,Navy,Ground Vehicles,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,Deobligation,>2-7 Months,PBL-DoD-ZBLs,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,1,2,0,0,0,2,-2649448.0000,1
2002,2017-09-13 14:58:58.833,Defense,Navy,Missiles & Space,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,1,2,1,0,0,2,3064651.0000,1
2003,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>1-2 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,10952442.0000,14
2003,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,>2-7 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,300000.0000,1
2003,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,129456.0000,8
2003,2017-09-13 14:58:58.833,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,1524204.0000,2
2003,2017-09-13 14:58:58.833,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,>4 years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,2,0,88078.0000,1
2000,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,71869409.0000,6
2000,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,1,4,1,0,0,2,3236946.0000,1
2001,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>2-4 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,1,2,20233572.0000,2
2001,2017-09-13 14:58:58.833,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,3041000.0000,1
2001,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,1,4,1,0,0,2,3553541.0000,1
2001,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Large,$250 thousand - <$1 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,690475.0000,2
2001,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Zero value,NULL,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,NULL,1,2,1,0,0,2,0.0000,0
2002,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,>2-7 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,406285.0000,3
2002,2017-09-13 14:58:58.833,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>2-4 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,1,2,1163000.0000,3
2002,2017-09-13 14:58:58.833,Defense,Navy,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>7-12 Months,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,0,10141221.0000,2
2002,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Large,$250 thousand - <$1 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,1943875.0000,3
2002,2017-09-13 14:58:58.833,Defense,Navy,Other,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Large,$5 - <$25 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,2,0,0,0,2,19333220.0000,1
2003,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,3488247.0000,5
2003,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>1-2 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,26475097.0000,7
2003,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,280676.0000,3
2003,2017-09-13 14:58:58.833,Defense,Air Force,R&D,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>1-2 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,2,1,0,0,2,667125.0000,1
2003,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,1,4,1,0,0,2,4001846.0000,1
2000,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$250 thousand - <$1 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,476040.0000,1
2000,2017-09-13 14:58:58.833,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>4 years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,2,2,316725.0000,1
2000,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$5 - <$25 million,>4 years,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,2,1,0,2,2,11263089.0000,1
2000,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,Zero value,NULL,PBL-GoviniSolicitation,NULL,PBL-GoviniSolicitation,NULL,0,2,1,0,0,2,0.0000,0
2001,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>1-2 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,6025000.0000,2
2001,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,>1-2 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,2,1,0,0,2,50000.0000,1
2002,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,1054592.0000,2
2002,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,55928879.0000,9
2002,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>1-2 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,125352.0000,1
2002,2017-09-13 14:58:58.833,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,Less than $250 thousand,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,123338.0000,1
2002,2017-09-13 14:58:58.833,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,1669200.0000,1
2002,2017-09-13 14:58:58.833,Defense,Air Force,PAMS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>1-2 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,28582499.0000,12
2002,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,1,4,1,0,0,2,3014166.0000,1
2002,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>1-2 Years,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,4,1,0,0,2,6128288.0000,2
2002,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$100 - <$500 million,>2-7 Months,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,2,1,0,0,0,118176788.0000,6
2002,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,$5 - <$25 million,NULL,PBL-GoviniSolicitation,PBL-GoviniSolicitation,NULL,NULL,0,2,1,0,0,2,17046064.0000,2
2002,2017-09-13 14:58:58.833,Defense,Navy,Ground Vehicles,Full Competition (Multiple Offers),Two Offers,SINGLE AWARD Indefinite Delivery Contract,Medium <1B,$5 - <$25 million,>7-12 Months,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,PBL-DoD-ZBLs,1,2,0,0,0,2,15297168.0000,1
2000,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,21107096.0000,7
2000,2017-09-13 14:58:58.833,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,65675325.0000,13
2000,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large,Zero value,NULL,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,NULL,1,4,1,0,0,2,0.0000,0
2000,2017-09-13 14:58:58.833,Defense,Navy,Engines & Power Plants,Limited Competition with multiple offers,Two Offers,SINGLE AWARD Indefinite Delivery Contract,Large,$5 - <$25 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,0,0,0,2,18430950.0000,3
2001,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>2-7 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,3628901.0000,1
2001,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,7911502.0000,1
2001,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,NULL,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,5499156.0000,1
2001,2017-09-13 14:58:58.833,Defense,Air Force,ERS,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,8180216.0000,7
2001,2017-09-13 14:58:58.833,Defense,Navy,Electronics & Communications,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$1 - <$5 million,NULL,PBL-DoD-ZBLs,PBL-DoD-ZBLs,NULL,PBL-DoD-ZBLs,1,4,1,0,0,2,4997234.0000,3
2001,2017-09-13 14:58:58.833,Defense,Navy,PAMS,No Competition (Only One Source Exception),No competition,Modified Definitive Contract,Large: Big 6,$5 - <$25 million,>7-12 Months,PBL-DoD-ZBLs,NULL,PBL-GoviniSolicitation,PBL-DoD-ZBLs,1,4,1,0,0,2,355509.0000,1
2002,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$25 - <$100 million,>1-2 Years,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,0,1044900.0000,3
2002,2017-09-13 14:58:58.833,Defense,Air Force,Aircraft,No Competition (Only One Source Exception),No competition,SINGLE AWARD Indefinite Delivery Contract,Large: Big 6,$5 - <$25 million,>7-12 Months,PBL-Announcement,PBL-Announcement,NULL,NULL,0,4,1,0,0,2,17750000.0000,2
