fiscal_year,subcustomer,customer,MaxOfPSCscore,MaxOfIsOnlyOneSource,MaxOfIsSingleAward,LengthScore,PricingScore,MaxOfIsOfficialPBL,MaxOfIsPerformanceBasedLogistics,ObligatedAmount
2001,Navy,Defense,4,1,0,2,2,NULL,NULL,24380200
2002,Air Force,Defense,2,0,0,0,0,NULL,NULL,3116250052
2002,Air Force,Defense,2,0,0,1,2,NULL,NULL,153861634
2002,Air Force,Defense,2,0,1,0,2,NULL,NULL,1260092440
2002,Air Force,Defense,2,0,1,2,0,NULL,NULL,468600
2002,Air Force,Defense,2,1,0,0,2,NULL,NULL,459903613
2002,Air Force,Defense,2,1,0,2,0,NULL,NULL,38566136
2002,Air Force,Defense,4,0,0,1,0,NULL,NULL,1161851
2002,Air Force,Defense,4,0,1,0,0,NULL,NULL,547395559
2002,Air Force,Defense,4,1,0,0,0,NULL,NULL,553316588
2002,Navy,Defense,NULL,0,0,0,0,NULL,NULL,5162844987
2002,Navy,Defense,2,0,0,0,0,NULL,NULL,2494133806
2002,Navy,Defense,2,0,0,1,2,NULL,NULL,5826700
2002,Navy,Defense,2,0,1,0,2,NULL,NULL,1365662954
2000,Air Force,Defense,NULL,0,0,1,0,NULL,NULL,14876141
2000,Air Force,Defense,NULL,0,0,2,2,NULL,NULL,25563837
2000,Air Force,Defense,NULL,0,1,0,0,NULL,NULL,436190132
2000,Air Force,Defense,NULL,0,1,1,2,NULL,NULL,4844730
2000,Air Force,Defense,NULL,1,0,0,0,NULL,NULL,332876918
2000,Air Force,Defense,NULL,1,1,0,2,NULL,NULL,53574706
2000,Air Force,Defense,2,0,0,2,2,NULL,NULL,680287763
2000,Air Force,Defense,2,0,1,1,2,NULL,NULL,0
2000,Air Force,Defense,2,1,0,1,2,NULL,NULL,58200000
2000,Air Force,Defense,2,1,1,0,2,NULL,NULL,74068234
2000,Air Force,Defense,4,0,0,0,2,NULL,NULL,5282237488
2000,Air Force,Defense,4,0,0,2,0,NULL,NULL,19871435
2000,Air Force,Defense,4,1,0,2,2,NULL,NULL,1467927499
2000,Air Force,Defense,4,1,1,0,0,NULL,NULL,285107022
2000,Army,Defense,2,0,0,1,0,NULL,NULL,11483491
2000,Army,Defense,2,0,0,2,2,NULL,NULL,122702936
2000,Army,Defense,2,0,1,0,0,NULL,NULL,659943859
2000,Army,Defense,2,1,0,0,0,NULL,NULL,233653559
2000,Army,Defense,2,1,0,1,2,NULL,NULL,66076996
2000,Army,Defense,2,1,1,0,2,NULL,NULL,4588956
2000,Army,Defense,4,0,0,0,2,NULL,NULL,1733057801
2000,Army,Defense,4,0,0,2,0,NULL,NULL,66610785
2000,Army,Defense,4,1,1,0,0,NULL,NULL,2621728
2000,DLA,Defense,2,0,1,0,0,NULL,NULL,86752769
2000,DLA,Defense,2,1,1,0,2,NULL,NULL,20168888
2000,DLA,Defense,4,0,0,0,2,NULL,NULL,250804040
2000,MDA,Defense,2,0,1,0,0,NULL,NULL,135367721
2000,MDA,Defense,4,0,0,0,2,NULL,NULL,95560
2000,MilitaryHealth,Defense,2,0,0,0,0,NULL,NULL,2086473
2000,Navy,Defense,NULL,0,0,1,0,NULL,NULL,2028000
2000,Navy,Defense,NULL,0,0,2,2,NULL,NULL,64149096
2000,Navy,Defense,NULL,0,1,0,0,NULL,NULL,2215595585
2000,Navy,Defense,NULL,1,0,0,0,NULL,NULL,1862183731
2000,Navy,Defense,NULL,1,0,1,2,NULL,NULL,20816483
2000,Navy,Defense,NULL,1,1,0,2,NULL,NULL,15375777
2001,Air Force,Defense,2,0,0,0,0,NULL,NULL,4766911144
2001,Air Force,Defense,4,1,1,1,2,0,1,73814779
2001,Navy,Defense,2,0,0,0,0,NULL,NULL,2025779667
2001,Navy,Defense,2,0,1,0,2,NULL,NULL,1228871000
2001,Navy,Defense,2,0,1,2,0,NULL,NULL,651422
2001,Navy,Defense,2,1,0,0,2,NULL,NULL,543376684
2001,Navy,Defense,2,1,0,2,0,NULL,NULL,132962164
2001,Navy,Defense,4,0,0,1,0,NULL,NULL,18678110
2001,Navy,Defense,4,0,1,0,0,NULL,NULL,1108630074
2001,Navy,Defense,4,1,0,0,0,NULL,NULL,826889405
2001,Navy,Defense,4,1,1,0,2,0,1,88597755
2001,Other DoD,Defense,NULL,0,0,0,2,NULL,NULL,225879262
2001,Other DoD,Defense,NULL,0,0,2,0,NULL,NULL,10840533
2001,Other DoD,Defense,NULL,1,0,2,2,NULL,NULL,90000
2001,Other DoD,Defense,NULL,1,1,0,0,NULL,NULL,7773725
2001,Other DoD,Defense,2,1,0,2,2,NULL,NULL,30000
2001,Other DoD,Defense,4,0,0,1,2,NULL,NULL,377674
2001,Other DoD,Defense,4,0,1,0,2,NULL,NULL,128710964.8
2001,Other DoD,Defense,4,1,0,0,2,NULL,NULL,10602035
2002,Air Force,Defense,NULL,0,0,2,2,NULL,NULL,1156168998
2002,Air Force,Defense,NULL,1,0,1,2,NULL,NULL,0
2002,Air Force,Defense,NULL,1,1,0,2,NULL,NULL,392536442
2002,Army,Defense,NULL,0,0,1,0,NULL,NULL,272751138.3
2002,Army,Defense,NULL,0,0,2,2,NULL,NULL,240691218.6
2002,Army,Defense,NULL,0,1,0,0,NULL,NULL,1020616980
2002,Army,Defense,NULL,0,1,1,2,NULL,NULL,402997
2002,Army,Defense,NULL,1,0,0,0,NULL,NULL,1135177566
2002,Army,Defense,NULL,1,0,1,2,NULL,NULL,737299113
2002,Army,Defense,NULL,1,1,0,2,NULL,NULL,502610450.6
2002,Army,Defense,NULL,1,1,2,0,NULL,NULL,98406
2002,Army,Defense,2,0,0,1,0,NULL,NULL,55744878
2002,Army,Defense,2,0,0,2,2,NULL,NULL,135432943.6
2002,Army,Defense,2,0,1,0,0,NULL,NULL,594054675.6
2000,Air Force,Defense,2,0,0,0,2,NULL,NULL,2212663207
2000,Air Force,Defense,2,0,0,2,0,NULL,NULL,38549236
2000,Air Force,Defense,2,0,1,2,2,NULL,NULL,1280374
2000,Air Force,Defense,2,1,0,1,0,NULL,NULL,25693908
2000,Air Force,Defense,2,1,0,2,2,NULL,NULL,13994364
2000,Air Force,Defense,2,1,1,0,0,NULL,NULL,43663828
2000,Air Force,Defense,4,0,0,0,0,NULL,NULL,1450178203
2000,Air Force,Defense,4,0,0,1,2,NULL,NULL,208300000
2000,Air Force,Defense,4,0,1,0,2,NULL,NULL,2261965010
2000,Air Force,Defense,4,0,1,2,0,NULL,NULL,0
2000,Air Force,Defense,4,1,0,0,2,NULL,NULL,1762458068
2000,Air Force,Defense,4,1,0,2,0,NULL,NULL,970000
2000,Army,Defense,2,0,0,1,2,NULL,NULL,26339679
2000,Army,Defense,2,0,1,0,2,NULL,NULL,1589575862
2000,Army,Defense,2,0,1,2,0,NULL,NULL,366920.44
2000,Army,Defense,2,1,0,0,2,NULL,NULL,26259273
2000,Army,Defense,2,1,0,2,0,NULL,NULL,11040180
2000,Army,Defense,4,0,0,2,2,NULL,NULL,46172905
2000,Army,Defense,4,0,1,0,0,NULL,NULL,1055822323
2000,Army,Defense,4,0,1,1,2,NULL,NULL,5530195
2000,Army,Defense,4,1,0,0,0,NULL,NULL,24924083
2000,Army,Defense,4,1,1,0,2,NULL,NULL,1306135
2000,DLA,Defense,2,0,1,0,2,NULL,NULL,322042248
2000,DLA,Defense,4,0,0,2,2,NULL,NULL,6614536
2000,DLA,Defense,4,0,1,0,0,NULL,NULL,11030626.7
2000,DLA,Defense,4,1,1,0,2,NULL,NULL,20431692
2000,MDA,Defense,NULL,0,0,0,0,NULL,NULL,338149
2000,Navy,Defense,2,0,0,0,2,NULL,NULL,2055796165
2000,Navy,Defense,2,0,0,2,0,NULL,NULL,5349814
2000,Navy,Defense,2,0,1,2,2,NULL,NULL,76153
2000,Navy,Defense,2,1,0,2,2,NULL,NULL,156987921
2000,Navy,Defense,2,1,1,0,0,NULL,NULL,3218026
2000,Navy,Defense,4,0,0,0,0,NULL,NULL,2172362676
2000,Navy,Defense,4,0,0,1,2,NULL,NULL,67300000
2000,Navy,Defense,4,0,1,0,2,NULL,NULL,1647661400
2000,Navy,Defense,4,0,1,2,0,NULL,NULL,20311
2000,Navy,Defense,4,1,0,0,2,NULL,NULL,2443098455
2000,Other DoD,Defense,2,0,0,0,0,NULL,NULL,669483016.9
2000,Other DoD,Defense,2,0,0,1,2,NULL,NULL,2700000
2000,Other DoD,Defense,2,0,1,0,2,NULL,NULL,563737032.2
2000,Other DoD,Defense,2,0,1,2,0,NULL,NULL,0
2000,Other DoD,Defense,2,1,0,0,2,NULL,NULL,0
2000,Other DoD,Defense,4,0,1,0,0,NULL,NULL,208296603
2001,NULL,Defense,4,0,1,0,2,NULL,NULL,0
2001,Air Force,Defense,NULL,0,0,0,2,NULL,NULL,4195660302
2001,Air Force,Defense,NULL,0,0,2,0,NULL,NULL,201986987
2001,Air Force,Defense,NULL,0,1,1,0,NULL,NULL,280447
2001,Air Force,Defense,NULL,1,0,1,0,NULL,NULL,1103008
2001,Air Force,Defense,NULL,1,1,0,0,NULL,NULL,49392477
2001,Air Force,Defense,4,1,1,2,2,0,1,47197110
2001,Army,Defense,4,0,0,2,2,NULL,NULL,138961727.4
2001,Army,Defense,4,0,1,1,2,NULL,NULL,1168564
2001,Army,Defense,4,1,0,1,2,NULL,NULL,19722966
2001,Army,Defense,4,1,1,0,2,NULL,NULL,485730438
2001,DLA,Defense,4,0,0,2,2,NULL,NULL,16975
2001,DLA,Defense,4,1,1,0,2,NULL,NULL,298365595
2001,MilitaryHealth,Defense,NULL,0,0,0,2,NULL,NULL,2343018149
2001,MilitaryHealth,Defense,NULL,1,1,0,0,NULL,NULL,1357076
2001,Navy,Defense,2,0,0,0,2,NULL,NULL,1040109877
2001,Navy,Defense,2,0,0,2,0,NULL,NULL,26100439
2001,Navy,Defense,2,0,1,2,2,NULL,NULL,0
2001,Navy,Defense,2,1,0,1,0,NULL,NULL,1882288
2001,Navy,Defense,2,1,0,2,2,NULL,NULL,177106974.6
2001,Navy,Defense,2,1,1,0,0,NULL,NULL,108469565
2001,Navy,Defense,4,0,0,0,0,NULL,NULL,1140850015
2001,Navy,Defense,4,0,0,1,2,NULL,NULL,103231194
2001,Navy,Defense,4,0,1,0,2,NULL,NULL,672776849.8
2001,Navy,Defense,4,0,1,2,0,NULL,NULL,34619
2000,NULL,Defense,4,0,1,0,2,NULL,NULL,0
2000,Air Force,Defense,NULL,0,0,0,2,NULL,NULL,4530354146
2000,Air Force,Defense,NULL,0,0,2,0,NULL,NULL,42243483
2000,Air Force,Defense,NULL,0,1,2,2,NULL,NULL,1200000
2000,Air Force,Defense,NULL,1,0,2,2,NULL,NULL,136549994
2000,Air Force,Defense,NULL,1,1,0,0,NULL,NULL,14460876
2000,Air Force,Defense,2,0,0,1,0,NULL,NULL,23280309
2000,Air Force,Defense,2,0,1,0,0,NULL,NULL,667009755
2000,Air Force,Defense,2,1,0,0,0,NULL,NULL,124449007
2000,Air Force,Defense,4,1,1,2,2,0,1,13608516
2000,Army,Defense,4,0,1,2,2,NULL,NULL,0
2000,DLA,Defense,4,0,1,2,2,NULL,NULL,522645
2000,MilitaryHealth,Defense,2,0,1,0,0,NULL,NULL,773374
2000,Navy,Defense,2,0,1,0,2,NULL,NULL,1697999097
2000,Navy,Defense,2,0,1,2,0,NULL,NULL,3903330
2000,Navy,Defense,2,1,0,0,2,NULL,NULL,167466366
2000,Navy,Defense,2,1,0,2,0,NULL,NULL,44125951
2000,Navy,Defense,4,0,0,1,0,NULL,NULL,89109407
2000,Navy,Defense,4,0,0,2,2,NULL,NULL,1690575
2000,Navy,Defense,4,0,1,0,0,NULL,NULL,1373435718
2000,Navy,Defense,4,1,0,0,0,NULL,NULL,184300336
2000,Navy,Defense,4,1,1,0,2,NULL,NULL,5744075
2000,Other DoD,Defense,2,0,0,2,2,NULL,NULL,389717
2000,Other DoD,Defense,2,0,1,0,0,NULL,NULL,203945119.8
2000,Other DoD,Defense,2,1,0,0,0,NULL,NULL,202829
2000,Other DoD,Defense,4,0,0,0,2,NULL,NULL,180344776.3
2000,Other DoD,Defense,4,1,1,0,0,NULL,NULL,1074863
2001,Air Force,Defense,NULL,0,0,0,0,NULL,NULL,4210060769
2001,Air Force,Defense,NULL,0,0,1,2,NULL,NULL,15962431
2001,Air Force,Defense,NULL,0,1,0,2,NULL,NULL,1553417169
2001,Air Force,Defense,NULL,1,0,0,2,NULL,NULL,755734996
2001,Air Force,Defense,NULL,1,0,2,0,NULL,NULL,342230281
2001,Air Force,Defense,NULL,1,1,1,0,NULL,NULL,-119442
2001,Air Force,Defense,4,1,1,0,2,0,1,195812368
2001,Air Force,Defense,4,1,1,2,0,0,1,1236000
2001,Army,Defense,2,0,0,0,2,NULL,NULL,2365615995
2001,Army,Defense,2,0,0,2,0,NULL,NULL,37359966
2001,Army,Defense,2,0,1,1,0,NULL,NULL,24342
2001,Army,Defense,2,0,1,2,2,NULL,NULL,29980
2001,Army,Defense,2,1,0,1,0,NULL,NULL,13827402
2001,Army,Defense,2,1,0,2,2,NULL,NULL,267220836
2001,Army,Defense,2,1,1,0,0,NULL,NULL,138408398
2001,Army,Defense,4,0,0,0,0,NULL,NULL,1401893112
2001,Army,Defense,4,0,0,1,2,NULL,NULL,44956662
2001,Army,Defense,4,0,1,0,2,NULL,NULL,360066240
2001,Army,Defense,4,0,1,2,0,NULL,NULL,19860279.16
2001,Army,Defense,4,1,0,0,2,NULL,NULL,2089145959
2001,Army,Defense,4,1,0,2,0,NULL,NULL,0
2001,DLA,Defense,2,0,0,0,2,NULL,NULL,355289020.1
2001,DLA,Defense,2,1,1,0,0,NULL,NULL,6577372
2001,DLA,Defense,4,0,0,0,0,NULL,NULL,24973786
2001,DLA,Defense,4,0,1,0,2,NULL,NULL,212943225
2001,DLA,Defense,4,1,0,0,2,NULL,NULL,42202722
2001,MDA,Defense,NULL,0,0,0,0,NULL,NULL,1302316
2001,MilitaryHealth,Defense,2,0,0,0,2,NULL,NULL,92160
2001,MilitaryHealth,Defense,4,0,0,0,0,NULL,NULL,34547
2001,Navy,Defense,2,0,0,1,0,NULL,NULL,8254923
2001,Navy,Defense,2,0,0,2,2,NULL,NULL,35192591
2001,Navy,Defense,2,0,1,0,0,NULL,NULL,1066041095
2001,Navy,Defense,2,1,0,0,0,NULL,NULL,738396624.3
2001,Navy,Defense,2,1,0,1,2,NULL,NULL,-90782
2001,Navy,Defense,2,1,1,0,2,NULL,NULL,714433159
2001,Navy,Defense,4,0,0,0,2,NULL,NULL,449197963
2001,Navy,Defense,4,0,0,2,0,NULL,NULL,71627641.82
2001,Navy,Defense,4,0,1,1,0,NULL,NULL,724302
2001,Navy,Defense,4,1,1,0,0,NULL,NULL,166426714
2001,Other DoD,Defense,2,0,0,0,2,NULL,NULL,662187347.4
2001,Other DoD,Defense,2,1,1,0,0,NULL,NULL,11161401
2000,Air Force,Defense,NULL,0,0,0,0,NULL,NULL,4118150427
2000,Air Force,Defense,NULL,0,0,1,2,NULL,NULL,4495080.5
2000,Air Force,Defense,NULL,0,1,0,2,NULL,NULL,1730601167
2000,Air Force,Defense,NULL,1,0,0,2,NULL,NULL,230683253
2000,Air Force,Defense,NULL,1,0,2,0,NULL,NULL,0
2000,Air Force,Defense,2,0,0,0,0,NULL,NULL,5395207186
2000,Air Force,Defense,2,0,0,1,2,NULL,NULL,41419686
2000,Air Force,Defense,2,0,1,0,2,NULL,NULL,1150815375
2000,Air Force,Defense,2,1,0,0,2,NULL,NULL,168605763
2000,Air Force,Defense,2,1,0,2,0,NULL,NULL,31477932
2000,Air Force,Defense,4,0,0,2,2,NULL,NULL,158885430
2000,Air Force,Defense,4,0,1,0,0,NULL,NULL,557767329
2000,Air Force,Defense,4,1,0,0,0,NULL,NULL,239560824
2000,Air Force,Defense,4,1,0,1,2,NULL,NULL,1252492884
2000,Air Force,Defense,4,1,1,0,2,NULL,NULL,363205751
2000,Army,Defense,NULL,0,0,0,2,NULL,NULL,11066594846
2000,Army,Defense,NULL,0,0,2,0,NULL,NULL,25957552
2000,Army,Defense,NULL,0,1,1,0,NULL,NULL,0
2000,Army,Defense,NULL,1,0,1,0,NULL,NULL,550000
2000,Army,Defense,NULL,1,1,0,0,NULL,NULL,3502965
2000,Army,Defense,2,0,0,0,2,NULL,NULL,3953139239
2000,Army,Defense,2,0,0,2,0,NULL,NULL,281039
2000,Army,Defense,2,0,1,1,0,NULL,NULL,513290
2000,Army,Defense,2,0,1,2,2,NULL,NULL,25312
2000,Army,Defense,2,1,1,0,0,NULL,NULL,483844
2000,Army,Defense,4,0,0,0,0,NULL,NULL,1742863840
2000,Army,Defense,4,0,0,1,2,NULL,NULL,2000000
2000,Army,Defense,4,0,1,0,2,NULL,NULL,756259797.6
2000,Army,Defense,4,0,1,2,0,NULL,NULL,6928422
2000,Army,Defense,4,1,0,0,2,NULL,NULL,560513996
2000,DLA,Defense,NULL,0,0,0,2,NULL,NULL,3661862397
2000,DLA,Defense,2,0,0,0,2,NULL,NULL,376586155
2000,DLA,Defense,2,0,1,2,2,NULL,NULL,36739
2000,DLA,Defense,4,0,0,0,0,NULL,NULL,40977244
2000,DLA,Defense,4,0,1,0,2,NULL,NULL,389885788
2000,MDA,Defense,2,0,0,0,0,NULL,NULL,1220268443
2000,MilitaryHealth,Defense,4,0,0,0,0,NULL,NULL,106559
2000,Navy,Defense,NULL,0,1,2,2,NULL,NULL,373897.86
2000,Navy,Defense,NULL,1,0,2,2,NULL,NULL,0
2001,Air Force,Defense,2,0,0,1,0,NULL,NULL,50682092
2001,Air Force,Defense,2,0,0,2,2,NULL,NULL,629330924.2
2001,Air Force,Defense,2,0,1,0,0,NULL,NULL,581346903
2001,Air Force,Defense,2,0,1,1,2,NULL,NULL,85000
2001,Air Force,Defense,2,1,0,0,0,NULL,NULL,523157463
2001,Air Force,Defense,2,1,0,1,2,NULL,NULL,316530499
2001,Air Force,Defense,2,1,1,0,2,NULL,NULL,354494669
2001,Air Force,Defense,4,0,0,0,2,NULL,NULL,3748937432
2001,Air Force,Defense,4,0,0,2,0,NULL,NULL,213427438
2001,Air Force,Defense,4,1,0,1,0,NULL,NULL,18250000
2001,Air Force,Defense,4,1,1,0,0,NULL,NULL,697220086
2001,Army,Defense,NULL,0,0,2,2,NULL,NULL,540702204.6
2001,Army,Defense,NULL,0,1,1,2,NULL,NULL,1335840
2001,Army,Defense,NULL,1,0,1,2,NULL,NULL,440243243
2001,Army,Defense,NULL,1,1,0,2,NULL,NULL,475111104
2001,Army,Defense,NULL,1,1,2,0,NULL,NULL,32640
2001,DLA,Defense,NULL,0,0,2,2,NULL,NULL,11191214
2001,DLA,Defense,NULL,1,1,0,2,NULL,NULL,179604776
2001,Navy,Defense,2,1,1,0,2,1,1,295000
2001,Navy,Defense,4,0,1,0,2,0,1,20290475
2001,Navy,Defense,4,1,0,0,2,0,1,7542155
2001,Other DoD,Defense,NULL,0,0,1,0,NULL,NULL,6403178
2001,Other DoD,Defense,NULL,0,0,2,2,NULL,NULL,121958249
2001,Other DoD,Defense,NULL,0,1,0,0,NULL,NULL,75725616.96
2001,Other DoD,Defense,NULL,1,0,0,0,NULL,NULL,27545991
2001,Other DoD,Defense,NULL,1,1,0,2,NULL,NULL,38179584
2001,Other DoD,Defense,2,0,0,1,0,NULL,NULL,35000
2001,Other DoD,Defense,2,0,0,2,2,NULL,NULL,90000
2000,Air Force,Defense,4,1,1,0,2,0,1,127553866
2000,MilitaryHealth,Defense,NULL,0,1,0,2,NULL,NULL,-54248
2000,Navy,Defense,2,0,0,1,0,NULL,NULL,20289330
2000,Navy,Defense,2,0,0,2,2,NULL,NULL,68094993
2000,Navy,Defense,2,0,1,0,0,NULL,NULL,1194431632
2000,Navy,Defense,2,1,0,0,0,NULL,NULL,8227299
2000,Navy,Defense,2,1,0,1,2,NULL,NULL,3442520.98
2000,Navy,Defense,2,1,1,0,2,NULL,NULL,55201596
2000,Navy,Defense,4,0,0,0,2,NULL,NULL,2553610329
2000,Navy,Defense,4,0,0,2,0,NULL,NULL,22885026
2000,Navy,Defense,4,0,1,1,0,NULL,NULL,265733
2000,Navy,Defense,4,1,1,0,0,NULL,NULL,6001409
2000,Other DoD,Defense,NULL,0,0,1,2,NULL,NULL,4620000
2000,Other DoD,Defense,NULL,0,1,0,2,NULL,NULL,391136252.3
2000,Other DoD,Defense,NULL,1,0,0,2,NULL,NULL,3336.4
2001,Air Force,Defense,NULL,0,1,2,2,NULL,NULL,56958
2001,Air Force,Defense,NULL,1,0,2,2,NULL,NULL,8070386
2001,Air Force,Defense,2,1,1,0,2,0,1,50000
2001,Air Force,Defense,4,1,1,0,0,0,1,47447588
2001,Army,Defense,2,0,0,0,0,NULL,NULL,2552936882
2001,Army,Defense,2,0,0,1,2,NULL,NULL,15534504
2001,Army,Defense,2,0,1,0,2,NULL,NULL,1860177815
2001,Army,Defense,2,0,1,2,0,NULL,NULL,3561019
2001,Army,Defense,2,1,0,0,2,NULL,NULL,1011170730
2001,Army,Defense,2,1,0,2,0,NULL,NULL,52891012.8
2001,Army,Defense,2,1,1,1,0,NULL,NULL,350000
2001,Army,Defense,4,0,0,1,0,NULL,NULL,990336
2001,Army,Defense,4,0,1,0,0,NULL,NULL,783619433
2001,Army,Defense,4,1,0,0,0,NULL,NULL,186704510
2001,DLA,Defense,2,0,0,0,0,NULL,NULL,219218974
2001,DLA,Defense,2,0,0,1,2,NULL,NULL,28000
2001,DLA,Defense,2,0,1,0,2,NULL,NULL,249048120
2001,DLA,Defense,2,1,0,0,2,NULL,NULL,70830539
2001,DLA,Defense,4,0,1,0,0,NULL,NULL,4939593
2001,MDA,Defense,NULL,0,0,0,2,NULL,NULL,38975
2001,MDA,Defense,NULL,1,1,0,0,NULL,NULL,13412
2001,MDA,Defense,2,0,0,0,2,NULL,NULL,5558860
2001,MDA,Defense,2,0,0,2,0,NULL,NULL,795850511
2001,MDA,Defense,2,1,1,0,0,NULL,NULL,29039399
2001,MDA,Defense,4,0,0,0,0,NULL,NULL,6985263
2001,MDA,Defense,4,0,1,0,2,NULL,NULL,224097
2001,Navy,Defense,NULL,0,0,0,0,NULL,NULL,4501708023
2001,Navy,Defense,NULL,0,0,1,2,NULL,NULL,386840176
2001,Navy,Defense,NULL,0,1,0,2,NULL,NULL,2111647582
2001,Navy,Defense,NULL,0,1,2,0,NULL,NULL,4199664.21
2001,Navy,Defense,NULL,1,0,0,2,NULL,NULL,2921456505
2001,Navy,Defense,NULL,1,0,2,0,NULL,NULL,405755669
2001,Navy,Defense,4,0,0,2,2,NULL,NULL,36875804.22
2001,Navy,Defense,4,0,1,1,2,NULL,NULL,0
2001,Navy,Defense,4,1,1,0,2,NULL,NULL,846521782
2002,NULL,Defense,NULL,0,1,0,2,NULL,NULL,0
2002,NULL,Defense,2,0,1,0,2,NULL,NULL,0
2002,Air Force,Defense,4,1,1,0,2,0,1,255973097
2002,Air Force,Defense,4,1,1,2,0,0,1,1669200
2002,Navy,Defense,NULL,0,0,1,0,NULL,NULL,44306450
2002,Navy,Defense,NULL,0,0,2,2,NULL,NULL,1496700488
2002,Navy,Defense,NULL,0,1,0,0,NULL,NULL,2121846924
2002,Navy,Defense,NULL,0,1,1,2,NULL,NULL,32751067
2002,Navy,Defense,NULL,1,0,0,0,NULL,NULL,2572862412
2002,Navy,Defense,NULL,1,0,1,2,NULL,NULL,93183900
2002,Navy,Defense,NULL,1,1,0,2,NULL,NULL,445946231
2002,Navy,Defense,NULL,1,1,2,0,NULL,NULL,72962
2002,Navy,Defense,2,0,0,1,0,NULL,NULL,57826380
2002,Navy,Defense,2,0,0,2,2,NULL,NULL,133625061.2
2002,Navy,Defense,2,0,1,0,0,NULL,NULL,811596172.4
2002,Navy,Defense,2,1,0,0,0,NULL,NULL,536821126
2002,Navy,Defense,2,1,0,1,2,NULL,NULL,21350385
